identifier	encoding	kind	kept	dropped
rosettaproject_gaz_swadesh-1	utf-8	transcription	115	5
rosettaproject_gbb_swadesh-1	utf-8	transcription	100	2
rosettaproject_gbc_swadesh-1	utf-8	transcription	263	28
rosettaproject_gbd_swadesh-1	utf-8	transcription	108	1
rosettaproject_gbe_swadesh-1	utf-8	transcription	310	17
rosettaproject_gbi_swadesh-1	utf-8	transcription	755	224
rosettaproject_gbp_swadesh-1	utf-8	transcription	292	6
rosettaproject_gbu_swadesh-1	utf-8	transcription	514	19
rosettaproject_gcn_swadesh-1	utf-8	transcription	14	5
rosettaproject_gdb_swadesh-1	utf-8	transcription	74	0
rosettaproject_gdh_swadesh-1	utf-8	transcription	16	0
rosettaproject_gdl_swadesh-1	utf-8	transcription	96	0
rosettaproject_gdn_swadesh-1	utf-8	transcription	91	87
rosettaproject_gdr_swadesh-1	utf-8	transcription	1232	512
rosettaproject_geb_swadesh-1	utf-8	transcription	447	68
rosettaproject_gez_swadesh-1	utf-8	transcription	110	0
rosettaproject_gft_swadesh-1	utf-8	transcription	88	0
rosettaproject_ggd_swadesh-1	utf-8	transcription	94	1
rosettaproject_gge_swadesh-1	utf-8	transcription	272	7
rosettaproject_ggk_swadesh-1	utf-8	transcription	253	5
rosettaproject_ggl_swadesh-1	utf-8	transcription	358	103
rosettaproject_ggw_swadesh-1	utf-8	transcription	768	500
rosettaproject_ghs_swadesh-1	utf-8	transcription	63	1
rosettaproject_gia_swadesh-1	utf-8	transcription	28	6
rosettaproject_gil_swadesh-1	utf-8	transcription	183	2
rosettaproject_gim_swadesh-1	utf-8	transcription	171	1
rosettaproject_gin_swadesh-1	utf-8	transcription	111	2
rosettaproject_gla_swadesh-1	utf-8	transcription	263	0
rosettaproject_gle_swadesh-1	utf-8	transcription	211	4
rosettaproject_glg_swadesh-1	utf-8	transcription	212	3
rosettaproject_gli_swadesh-1	utf-8	transcription	41	0
rosettaproject_gly_swadesh-1	utf-8	transcription	127	1
rosettaproject_gma_swadesh-1	utf-8	transcription	19	0
rosettaproject_gmu_swadesh-1	utf-8	transcription	372	95
rosettaproject_gni_swadesh-1	utf-8	transcription	253	6
rosettaproject_gnl_swadesh-1	utf-8	transcription	260	156
rosettaproject_gnn_swadesh-1	utf-8	transcription	235	16
rosettaproject_gno_swadesh-1	utf-8	transcription	82	0
rosettaproject_gnr_swadesh-1	utf-8	transcription	425	121
rosettaproject_gnu_swadesh-1	utf-8	transcription	1	0
rosettaproject_goi_swadesh-1	utf-8	transcription	617	255
rosettaproject_gol_swadesh-1	utf-8	transcription	79	1
rosettaproject_gor_swadesh-1	utf-8	transcription	363	5
rosettaproject_gow_swadesh-1	utf-8	transcription	104	0
rosettaproject_gpn_swadesh-1	utf-8	transcription	272	11
rosettaproject_gsn_swadesh-1	utf-8	transcription	53	0
rosettaproject_gsp_swadesh-1	utf-8	transcription	350	61
rosettaproject_guf_swadesh-1	utf-8	transcription	487	310
rosettaproject_guj_swadesh-1	utf-8	transcription	71	0
rosettaproject_guk_swadesh-1	utf-8	transcription	875	287
rosettaproject_gup_swadesh-1	utf-8	transcription	439	20
rosettaproject_guz_swadesh-1	utf-8	transcription	79	0
rosettaproject_gvf_swadesh-1	utf-8	transcription	39	0
rosettaproject_gvn_swadesh-1	utf-8	transcription	119	4
rosettaproject_gvr_swadesh-1	utf-8	transcription	113	0
rosettaproject_gwd_swadesh-1	utf-8	transcription	460	17
rosettaproject_gwu_swadesh-1	utf-8	transcription	84	1
rosettaproject_gww_swadesh-1	utf-8	transcription	18	0
rosettaproject_gyb_swadesh-1	utf-8	transcription	373	101
rosettaproject_gyy_swadesh-1	utf-8	transcription	276	10
rosettaproject_gza_swadesh-1	utf-8	transcription	97	0
rosettaproject_had_swadesh-1	utf-8	transcription	581	67
rosettaproject_hae_swadesh-1	utf-8	transcription	98	0
rosettaproject_ham_swadesh-1	utf-8	transcription	260	85
rosettaproject_har_swadesh-1	utf-8	transcription	248	5
rosettaproject_hat_swadesh-1	utf-8	transcription	208	0
rosettaproject_hbn_swadesh-1	utf-8	transcription	447	40
rosettaproject_hbo_swadesh-1	utf-8	transcription	141	0
rosettaproject_hdy_swadesh-1	utf-8	transcription	141	2
rosettaproject_hih_swadesh-1	utf-8	transcription	348	66
rosettaproject_hil_swadesh-1	utf-8	transcription	210	0
rosettaproject_hin_swadesh-2	utf-8	transcription	125	1
rosettaproject_hmt_swadesh-1	utf-8	transcription	120	0
rosettaproject_hts_swadesh-1	utf-8	transcription	262	9
rosettaproject_huf_swadesh-1	utf-8	transcription	440	13
rosettaproject_hui_swadesh-1	utf-8	transcription	469	156
rosettaproject_hun_swadesh-1	utf-8	transcription	221	1
rosettaproject_hun_swadesh-2	cp1250	translation	202	0
rosettaproject_huz_swadesh-1	utf-8	transcription	114	4
rosettaproject_hye_swadesh-1	utf-8	transcription	81	0
rosettaproject_ian_swadesh-1	utf-8	transcription	509	347
rosettaproject_iar_swadesh-1	utf-8	transcription	483	136
rosettaproject_ibd_swadesh-1	utf-8	transcription	342	29
rosettaproject_ibu_swadesh-1	utf-8	transcription	25	25
rosettaproject_idi_swadesh-1	utf-8	transcription	80	0
rosettaproject_ihp_swadesh-1	utf-8	transcription	767	279
rosettaproject_ikx_swadesh-1	utf-8	transcription	110	2
rosettaproject_imi_swadesh-1	utf-8	transcription	388	80
rosettaproject_imn_swadesh-1	utf-8	transcription	315	10
rosettaproject_imo_swadesh-1	utf-8	transcription	132	35
rosettaproject_iou_swadesh-1	utf-8	transcription	50	0
rosettaproject_ipo_swadesh-1	utf-8	transcription	252	41
rosettaproject_irh_swadesh-1	utf-8	transcription	177	2
rosettaproject_irk_swadesh-1	utf-8	transcription	454	0
rosettaproject_irx_swadesh-1	utf-8	transcription	218	44
rosettaproject_isa_swadesh-1	utf-8	transcription	274	121
rosettaproject_isd_swadesh-1	utf-8	transcription	184	3
rosettaproject_isl_swadesh-1	utf-8	transcription	177	5
rosettaproject_ita_swadesh-1	utf-8	transcription	281	102
rosettaproject_itr_swadesh-1	utf-8	transcription	122	25
rosettaproject_itx_swadesh-1	utf-8	transcription	335	140
rosettaproject_iwm_swadesh-1	utf-8	transcription	160	42
rosettaproject_jac_swadesh-1	utf-8	transcription	143	1
rosettaproject_jae_swadesh-1	utf-8	transcription	182	2
rosettaproject_jao_swadesh-1	utf-8	transcription	398	23
rosettaproject_jaq_swadesh-1	utf-8	transcription	335	92
